,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
554,"101112,101123,200782,202397,203101","2,3,8,9,9","Frye,Channing - Green,Gerald - Plumlee,Miles - Smith,Ish - Tucker,PJ",23.1,38.1,17.4,-15.0,-0.862068965517
557,"101112,101123,201609,202339,203101","2,3,8,9,9","Bledsoe,Eric - Dragic,Goran - Frye,Channing - Green,Gerald - Plumlee,Miles",37.8,55.8,21.0,-18.0,-0.857142857143
561,"101112,101123,201609,202693,202694","1,3,7,8,9","Dragic,Goran - Frye,Channing - Green,Gerald - Morris,Marcus - Morris,Markieff",237.0,222.0,102.0,15.0,0.147058823529
562,"101112,101123,201609,202694,203101","2,3,7,8,9","Dragic,Goran - Frye,Channing - Green,Gerald - Morris,Marcus - Plumlee,Miles",47.6,60.2,25.2,-12.6,-0.5
566,"101112,101123,202339,202693,202694","1,3,7,8,9","Bledsoe,Eric - Frye,Channing - Green,Gerald - Morris,Marcus - Morris,Markieff",82.5,93.0,36.0,-10.5,-0.291666666667
569,"101112,101123,202397,202693,202694","1,3,7,8,9","Frye,Channing - Green,Gerald - Morris,Marcus - Morris,Markieff - Smith,Ish",134.0,90.0,56.0,44.0,0.785714285714
576,"101112,200782,201609,202339,202693","1,3,9,9,9","Bledsoe,Eric - Dragic,Goran - Frye,Channing - Morris,Markieff - Tucker,PJ",165.6,135.0,68.4,30.6,0.447368421053
577,"101112,200782,201609,202339,202694","3,7,9,9,9","Bledsoe,Eric - Dragic,Goran - Frye,Channing - Morris,Marcus - Tucker,PJ",62.0,46.0,24.0,16.0,0.666666666667
578,"101112,200782,201609,202339,203101","2,3,9,9,9","Bledsoe,Eric - Dragic,Goran - Frye,Channing - Plumlee,Miles - Tucker,PJ",924.0,808.5,437.5,115.5,0.264
603,"101112,201160,203095,203894,1626209","1,3,5,6,8","Fournier,Evan - Frye,Channing - Hezonja,Mario - Napier,Shabazz - Smith,Jason",63.0,62.0,26.0,1.0,0.0384615384615
614,"101112,201609,202339,202693,202694","1,3,7,9,9","Bledsoe,Eric - Dragic,Goran - Frye,Channing - Morris,Marcus - Morris,Markieff",64.8,52.2,25.2,12.6,0.5
616,"101112,201609,202339,202694,203101","2,3,7,9,9","Bledsoe,Eric - Dragic,Goran - Frye,Channing - Morris,Marcus - Plumlee,Miles",49.7,42.7,20.3,7.0,0.344827586207
618,"101112,201609,202397,202693,202694","1,3,7,9,9","Dragic,Goran - Frye,Channing - Morris,Marcus - Morris,Markieff - Smith,Ish",80.8,61.6,30.4,19.2,0.631578947368
621,"101112,201609,202693,202694,203462","1,3,6,7,9","Dragic,Goran - Frye,Channing - Goodwin,Archie - Morris,Marcus - Morris,Markieff",44.8,28.0,17.5,16.8,0.96
627,"101112,202397,202693,202694,203462","1,3,6,7,9","Frye,Channing - Goodwin,Archie - Morris,Marcus - Morris,Markieff - Smith,Ish",64.8,80.1,32.4,-15.3,-0.472222222222
629,"101112,202681,202684,202697,203521","2,3,7,8,8","Dellavedova,Matthew - Frye,Channing - Irving,Kyrie - Shumpert,Iman - Thompson,Tristan",64.8,72.8,36.8,-8.0,-0.217391304348
632,"101112,202696,202699,203095,203506","2,2,3,7,8","Fournier,Evan - Frye,Channing - Harris,Tobias - Oladipo,Victor - Vucevic,Nikola",605.8,647.0,307.5,-41.2,-0.133983739837
633,"101112,202696,202699,203095,203894","2,2,3,6,8","Fournier,Evan - Frye,Channing - Harris,Tobias - Napier,Shabazz - Vucevic,Nikola",49.0,57.0,24.0,-8.0,-0.333333333333
634,"101112,202696,202699,203095,203901","2,2,3,8,9","Fournier,Evan - Frye,Channing - Harris,Tobias - Payton,Elfrid - Vucevic,Nikola",997.0,977.4,487.4,19.6,0.040213377103
636,"101112,202696,202699,203506,203901","2,2,3,7,9","Frye,Channing - Harris,Tobias - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",369.4,396.9,179.7,-27.5,-0.153032832499
638,"101112,202696,203090,203095,203506","2,3,7,8,8","Fournier,Evan - Frye,Channing - Harkless,Maurice - Oladipo,Victor - Vucevic,Nikola",27.0,41.0,18.2,-14.0,-0.769230769231
640,"101112,202696,203090,203506,203901","2,3,7,8,9","Frye,Channing - Harkless,Maurice - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",99.0,101.0,47.0,-2.0,-0.0425531914894
642,"101112,202696,203095,203506,203901","2,3,7,8,9","Fournier,Evan - Frye,Channing - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",132.4,122.8,61.7,9.6,0.155591572123
646,"101112,202696,203506,203901,203906","2,3,5,7,9","Frye,Channing - Marble,Devyn - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",304.0,311.2,132.0,-7.2,-0.0545454545455
647,"101112,202696,203506,203901,203932","2,3,7,7,9","Frye,Channing - Gordon,Aaron - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",123.7,127.8,57.5,-4.1,-0.0713043478261
650,"101112,202699,203095,203124,203506","2,2,3,7,8","Fournier,Evan - Frye,Channing - Harris,Tobias - O'Quinn,Kyle - Oladipo,Victor",185.9,157.3,83.2,28.6,0.34375
652,"101112,202699,203095,203473,203506","2,2,3,7,8","Dedmon,Dewayne - Fournier,Evan - Frye,Channing - Harris,Tobias - Oladipo,Victor",58.0,56.0,29.0,2.0,0.0689655172414
654,"101112,202699,203095,203506,203901","2,3,7,8,9","Fournier,Evan - Frye,Channing - Harris,Tobias - Oladipo,Victor - Payton,Elfrid",74.8,83.0,40.4,-8.2,-0.20297029703
658,"101112,202699,203473,203506,203901","2,2,3,7,9","Dedmon,Dewayne - Frye,Channing - Harris,Tobias - Oladipo,Victor - Payton,Elfrid",67.2,64.0,31.2,3.2,0.102564102564
680,"101114,101127,101187,203141,203486","0,3,3,7,8","Anderson,Alan - Jack,Jarrett - Plumlee,Mason - Teletovic,Mirza - Williams,Deron",59.2,60.0,26.4,-0.8,-0.030303030303
686,"101114,101127,201572,202711,203928","1,2,3,7,8","Bogdanovic,Bojan - Jack,Jarrett - Jefferson,Cory - Lopez,Brook - Williams,Deron",36.0,26.1,15.6,9.9,0.634615384615
693,"101114,101154,101187,201977,203141","1,3,3,3,7","Anderson,Alan - Blatche,Andray - Teletovic,Mirza - Thornton,Marcus - Williams,Deron",46.2,41.4,21.0,4.8,0.228571428571
694,"101114,101154,101187,203141,203268","1,3,3,3,7","Anderson,Alan - Blatche,Andray - Gutierrez,Jorge - Teletovic,Mirza - Williams,Deron",34.0,30.0,15.2,4.0,0.263157894737
702,"101114,101187,201572,202711,203928","1,2,3,3,7","Anderson,Alan - Bogdanovic,Bojan - Jefferson,Cory - Lopez,Brook - Williams,Deron",32.0,32.0,15.5,0.0,0.0
703,"101114,101187,201572,203141,203508","1,3,3,4,7","Anderson,Alan - Karasev,Sergey - Lopez,Brook - Teletovic,Mirza - Williams,Deron",29.2,32.4,16.8,-3.2,-0.190476190476
711,"101114,200826,202083,203084,203939","1,3,5,7,9","Barea,J.J. - Barnes,Harrison - Matthews,Wesley - Powell,Dwight - Williams,Deron",50.0,56.0,18.0,-6.0,-0.333333333333
716,"101114,201152,201572,202711,203900","1,2,3,5,7","Bogdanovic,Bojan - Brown,Markel - Lopez,Brook - Williams,Deron - Young,Thaddeus",58.4,64.8,26.4,-6.4,-0.242424242424
735,"101115,101127,101139,202087,203461","1,2,4,8,8","Bennett,Anthony - Bynum,Andrew - Gee,Alonzo - Jack,Jarrett - Miles,CJ",81.0,81.0,39.0,0.0,0.0
738,"101115,101127,202087,202681,202684","1,2,7,8,8","Bynum,Andrew - Gee,Alonzo - Irving,Kyrie - Jack,Jarrett - Thompson,Tristan",64.8,65.7,32.4,-0.9,-0.0277777777778
739,"101115,101127,202681,202684,203079","1,2,7,7,8","Bynum,Andrew - Irving,Kyrie - Jack,Jarrett - Thompson,Tristan - Waiters,Dion",34.3,49.0,18.9,-14.7,-0.777777777778
743,"101115,101139,201947,202681,202684","1,2,4,5,7","Bynum,Andrew - Clark,Earl - Irving,Kyrie - Miles,CJ - Thompson,Tristan",42.0,48.9,22.8,-6.9,-0.302631578947
744,"101115,101139,202087,202681,202684","1,2,4,7,8","Bynum,Andrew - Gee,Alonzo - Irving,Kyrie - Miles,CJ - Thompson,Tristan",295.9,290.4,138.6,5.5,0.0396825396825
750,"101115,202087,202681,202684,203079","1,2,7,7,8","Bynum,Andrew - Gee,Alonzo - Irving,Kyrie - Thompson,Tristan - Waiters,Dion",56.0,67.2,34.3,-11.2,-0.326530612245
