,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
1873,46.9,13.3,25.2,7.0,2.1,200745 - 204038 - 203144 - 201160 - 202498,"Bargnani,Andrea - Galloway,Langston - Shved,Alexey - Smith,Jason - Thomas,Lance",8.7,7.1
1874,23.2,2.0,14.0,5.2,8.0,203112 - 2546 - 101181 - 2223 - 203501,"Acy,Quincy - Anthony,Carmelo - Calderon,Jose - Dalembert,Samuel - Hardaway Jr.,Tim",7.1,5.3
1875,44.8,13.3,24.5,9.8,7.0,202332 - 200745 - 204038 - 203144 - 202498,"Aldrich,Cole - Bargnani,Andrea - Galloway,Langston - Shved,Alexey - Thomas,Lance",7.5,6.6
1876,17.1,3.9,10.5,0.9,5.1,2546 - 101181 - 2223 - 202697 - 201160,"Anthony,Carmelo - Calderon,Jose - Dalembert,Samuel - Shumpert,Iman - Smith,Jason",10.6,6.3
1877,29.2,9.2,14.0,4.0,2.0,2546 - 203501 - 202697 - 2747 - 2405,"Anthony,Carmelo - Hardaway Jr.,Tim - Shumpert,Iman - Smith,J.R. - Stoudemire,Amar'e",6.8,11.3
1878,26.0,0.0,17.0,2.0,5.0,203112 - 202332 - 203499 - 203143 - 204037,"Acy,Quincy - Aldrich,Cole - Larkin,Shane - Prigioni,Pablo - Wear,Travis",5.2,5.0
1879,28.0,5.0,17.0,5.0,6.0,203112 - 204038 - 203501 - 203499 - 201160,"Acy,Quincy - Galloway,Langston - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",5.0,5.2
1880,37.8,4.9,23.8,2.1,6.3,203112 - 203501 - 203499 - 201160 - 202498,"Acy,Quincy - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason - Thomas,Lance",5.9,6.0
1881,29.2,4.0,13.6,6.0,3.2,202332 - 2546 - 101181 - 203143 - 201160,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Prigioni,Pablo - Smith,Jason",7.3,7.8
1882,9.0,4.0,6.8,1.0,0.0,2546 - 101181 - 2223 - 203501 - 203143,"Anthony,Carmelo - Calderon,Jose - Dalembert,Samuel - Hardaway Jr.,Tim - Prigioni,Pablo",8.0,7.0
1883,17.1,2.1,10.2,3.0,2.1,200745 - 203921 - 204038 - 203501 - 204037,"Bargnani,Andrea - Early,Cleanthony - Galloway,Langston - Hardaway Jr.,Tim - Wear,Travis",10.4,5.7
1884,35.7,18.9,23.8,2.1,7.0,200745 - 204038 - 203499 - 201160 - 202498,"Bargnani,Andrea - Galloway,Langston - Larkin,Shane - Smith,Jason - Thomas,Lance",7.7,8.0
1885,22.0,2.0,13.2,4.0,8.0,203112 - 202332 - 203501 - 203499 - 204037,"Acy,Quincy - Aldrich,Cole - Hardaway Jr.,Tim - Larkin,Shane - Wear,Travis",6.8,6.0
1886,16.0,2.0,6.6,4.0,0.0,2546 - 204038 - 203501 - 2405 - 202498,"Anthony,Carmelo - Galloway,Langston - Hardaway Jr.,Tim - Stoudemire,Amar'e - Thomas,Lance",8.5,6.5
1887,20.0,8.0,12.8,1.2,5.2,203112 - 204038 - 203501 - 201160 - 202498,"Acy,Quincy - Galloway,Langston - Hardaway Jr.,Tim - Smith,Jason - Thomas,Lance",6.5,9.0
1888,13.0,0.0,6.4,2.0,1.0,203112 - 203501 - 203143 - 2747 - 201160,"Acy,Quincy - Hardaway Jr.,Tim - Prigioni,Pablo - Smith,J.R. - Smith,Jason",12.0,4.0
1889,23.2,10.0,12.8,3.2,3.2,2546 - 203501 - 203499 - 202697 - 2405,"Anthony,Carmelo - Hardaway Jr.,Tim - Larkin,Shane - Shumpert,Iman - Stoudemire,Amar'e",6.3,9.3
1890,14.1,2.1,9.6,0.9,5.1,200745 - 203921 - 203499 - 203495 - 201160,"Bargnani,Andrea - Early,Cleanthony - Larkin,Shane - Ledo,Ricky - Smith,Jason",11.0,6.3
1891,15.0,2.1,9.6,0.9,3.9,203501 - 203499 - 2747 - 201160 - 2405,"Hardaway Jr.,Tim - Larkin,Shane - Smith,J.R. - Smith,Jason - Stoudemire,Amar'e",5.4,6.7
1892,18.0,0.0,9.3,3.0,3.0,203112 - 203501 - 203499 - 203143 - 201160,"Acy,Quincy - Hardaway Jr.,Tim - Larkin,Shane - Prigioni,Pablo - Smith,Jason",6.0,4.7
1893,10.0,1.0,6.2,0.0,2.0,202332 - 2546 - 101181 - 203501 - 2405,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Stoudemire,Amar'e",4.0,8.0
1894,9.0,6.0,6.2,1.0,0.0,2546 - 203499 - 203143 - 201160 - 204037,"Anthony,Carmelo - Larkin,Shane - Prigioni,Pablo - Smith,Jason - Wear,Travis",5.5,8.0
1895,25.0,10.0,15.5,6.0,5.0,203501 - 203499 - 203143 - 201160 - 2405,"Hardaway Jr.,Tim - Larkin,Shane - Prigioni,Pablo - Smith,Jason - Stoudemire,Amar'e",4.4,5.0
1896,10.0,3.0,6.0,1.0,3.0,203112 - 101181 - 203921 - 203499 - 201160,"Acy,Quincy - Calderon,Jose - Early,Cleanthony - Larkin,Shane - Smith,Jason",9.5,6.0
